Nazwa,Wartość energetyczna,Białka,Zwierzęce,Roślinne,Tłuszcze,Nasycone,Jednonienasycone,Wielonienasycone,Węglowodany,Węglowodany netto,Cukry,Cholesterol,Błonnik
Brukiew,37.0,1.08,0.0,0.0,0.16,0.03,0.03,0.09,8.62,6.32,4.46,0.0,2.3
Bataty,87.0,1.2,0.0,1.2,0.3,0.1,0.0,0.1,19.7,19.7,5.5,0.0,0.0
